"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"27","da.wav",315,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"28","di.wav",316,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"29","ba.wav",317,"S",NA,"",0.308750899916,"3","bi",2,"f006","1C","auditory"
"30","pu.wav",318,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"31","bu.wav",319,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"32","pa.wav",320,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"33","da.wav",321,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"34","ta.wav",322,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"35","ti.wav",323,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"36","du.wav",324,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"37","pi.wav",325,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"38","tu.wav",326,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"39","bi.wav",327,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"40","ta.wav",328,"S",NA,"",0.200434517057,"3","bi",2,"f006","1C","auditory"
"41","ti.wav",329,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"42","du.wav",330,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"43","pi.wav",331,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"44","tu.wav",332,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"45","bi.wav",333,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"46","bu.wav",334,"S",NA,"",0.342060747615,"3","bi",2,"f006","1C","auditory"
"47","pa.wav",335,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"48","da.wav",336,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"49","di.wav",337,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"50","ba.wav",338,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"51","pu.wav",339,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"52","ta.wav",340,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"53","ti.wav",341,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
